Status,Measurement,Before,After,Unit,Workload,Evidence
Landed,Quiet core tick,3.241,0.022,ms CPU,1000 stopped Bees,empty-snapshot-results.md
Landed,Real daemon idle,9.715,0.467,% of one CPU core,1000 stopped Bees; isolated daemon,empty-snapshot-results.md
Landed,Existing stop check,176.946,0.036,ms CPU,100000 settled commands,command-probe-results.md
Landed; residual open,Boot recovery,174.552,11.854,ms CPU,100000 settled commands,command-probe-results.md
Landed; write cost measured,No-due flag expiry,2.691,0.007,ms CPU,100000 cleared +1000 future flags,designs/flag-expiry.md
Landed; scaling open,Empty task supplies,21.325,12.295,ms CPU,1000 enabled supplies,task-supply-results.md
Landed; scaling open,Paused task supplies,27.28,12.796,ms CPU,1000 paused supplies,task-supply-results.md
Landed,Sparse core tick,43.459,0.026,ms CPU,10000 retained Bees;1live,sparse-refined-results.md
Landed,Held message tick,8.517,5.251,ms CPU,10000 held64-byte messages,sparse-refined-results.md
Landed; residual open,Large-body tick,19.053,11.785,ms CPU,100held1MiB messages,sparse-refined-results.md
Landed,Sampled allocation traffic,3148753632,2486824,bytes,30profiled ticks;100held1MiB messages;not retained memory,sparse-refined-results.md
Landed,RPC cap eviction,0.265,0.037,ms CPU,10000 retained RPC results; pre-cap write cost measured,rpc-retention-results.md
Landed,Obsolete I1 IDs,30000,0,IDs,30 drained cohorts of1000 messages; RSS increase retained,retained-dedup-results.md
Landed; conflict cost measured,Clean Cell merge,400.254,94.856,ms wall,2000 files;30samples per side,cell-object-merge-results.md
Landed; stress six samples,Clean Cell merge stress,1615.594,120.456,ms wall,10000 files;6samples per side,cell-object-merge-results.md
Landed,Quiet tick with retained Cell moves,2.792,0.012,ms CPU,100000 historical move receipts; no active move,cell-move-discovery-results.md
Landed; blocked-move cost measured,Held fleet tick with I1,35.066,26.002,ms CPU,10000 real-running Bees with one held idle message each,held-fleet-results.md
Landed; blocked-move cost measured,Held fleet tick without I1,27.723,18.879,ms CPU,10000 real-running Bees with one held idle message each,held-fleet-results.md
Landed; write/storage cost measured,Sparse per-Bee audit tail,30.033,0.023,ms CPU,20target among1M unrelated;15samples,audit-tail-results.md
Landed; growth CPU cost measured,Standing-mail retained heap,22172344,11730888,bytes JS heap,500k terminal messages;1pending anchor;postGC,retained-standing-candidate.md
Landed,Wide dedup sweep refinement,10.523,9.637,ms CPU,20k pending;1tracked;6sweep ticks per side,dedup-sweep-results.md
Landed; sampled attribution only,Prune allocation traffic,2188528,90856,sampled bytes,one256tick cycle;not retained memory,dedup-sweep-results.md
Landed; same-generation residual open,Boot recovery generation index,11.386,7.256,ms CPU,100k same-generation settled commands;15samples,stop-recovery-index-results.md
Landed; write/open/storage cost measured,Spread-generation recovery predicate,6.767,0.351,ms CPU,100k commands across200generations;UUIDkeys;30samples,stop-recovery-index-results.md
Landed,Wide pending row materialization,10.216,5.658,ms CPU,20k held64B messages;30samples;array mapping only,pending-allocation-results.md
Landed; sampled allocation only,Wide tick allocation traffic,315221560,150241688,sampled bytes,30profiled ticks;20kheld;not retained RAM,pending-allocation-results.md
Landed; write/open/storage cost measured,Large-body pending tick,11.669,0.098,ms CPU,100held1MiB;oneBee;30samples;covering index only,pending-covering-results.md
Landed; read tradeoff retained,Remove duplicate pending index,1085440,0,bytes in old index,20k pending;pages reusable;no immediate file shrink,pending-index-removal-results.md
Landed; A/A variation retained,Pending send/expedite/cancel CPU,13.346,12.77,ms CPU per100cycles,20k pending;10samples;full-read possible2–3%cost,pending-index-removal-results.md
Landed; combined current main,Wide pending tick CPU,10.519,5.161,ms CPU,20k held64B;30samples;main2c3b vs10c25;AA10.575,pending-combined-results.md
Landed; combined current main,Large-body pending tick CPU,11.219,0.151,ms CPU,100liveBees100held1MiB;30samples;AA11.893,pending-combined-results.md
Landed; tradeoffs recorded,Sparse mailbox history,3.744,0.032,ms CPU,20 target rows among100k unrelated,c10-mailbox-history-results.md
Accepted cost,All-target mailbox history,129.112,136.142,ms CPU,100k target rows,c10-mailbox-history-results.md
No regression observed,Pending over same-Bee delivered history,0.024,0.024,ms CPU,20pending plus100k delivered,c10-mailbox-history-results.md
Baseline; candidate pending,Cell capture packed-tag scaling,90.703625,162.514209,ms wall,0 versus10k tags;12files14commits,cell-ref-fanout-results.md
Landed,Repeated empty mailbox read,6.981,0.311,us CPU/call,1000calls/batch;warmed constant SQL,mailbox-statement-cache-results.md
Landed,Repeated twenty-row mailbox read,25.957,18.438,us CPU/call,1000calls/batch;warmed constant SQL,mailbox-statement-cache-results.md
